# Please note that there may be discrepancies between your electric bill and what Sense reports due to data interruptions (such as Wi-Fi signal loss or loss of power) or other issues.,,,,,,,,
DateTime,Device ID,Name,Device Type,Device Make,Device Model,Device Location,Avg Wattage,kWh
3/2/2020 23:00,cfd74978,Furnace,Furnace,,,,162.66,0.163
3/2/2020 23:00,solar,Solar Production,Solar,,,,3.862,0.004
3/2/2020 23:00,63b2178f,Furnace1,Mystery Heat,,,,28.315,0.028
3/2/2020 23:00,77639ae9,Portable Heater,Space Heater,,,,8.049,0.008
3/2/2020 23:00,hgLq1FnZ,kasa plug,Smart Plug,,,,156.922,0.157
3/3/2020 0:00,mains,Total Usage,,,,,2052.118,2.052
3/3/2020 0:00,always_on,Always On,AlwaysOn,,,,404,0.404
3/3/2020 0:00,c4efa971,Fridge,Fridge,,,,91.97,0.092
3/3/2020 0:00,solar,Solar Production,Solar,,,,5.529,0.006
3/3/2020 0:00,e5c541e5,Dryer - Small,Mystery Heat,,,,249.528,0.25
3/3/2020 0:00,77639ae9,Portable Heater,Space Heater,,,,40.204,0.04
3/3/2020 0:00,hgLq1FnZ,kasa plug,Smart Plug,,,,245.544,0.246
3/3/2020 1:00,mains,Total Usage,,,,,1290.566,1.291
3/3/2020 1:00,always_on,Always On,AlwaysOn,,,,404,0.404
3/3/2020 1:00,c4efa971,Fridge,Fridge,,,,14.165,0.014
3/3/2020 1:00,cfd74978,Furnace,Furnace,,,,294.565,0.295
3/3/2020 1:00,solar,Solar Production,Solar,,,,4.519,0.005
3/3/2020 1:00,63b2178f,Furnace1,Mystery Heat,,,,49.897,0.05
3/3/2020 1:00,77639ae9,Portable Heater,Space Heater,,,,27.062,0.027
3/3/2020 1:00,hgLq1FnZ,kasa plug,Smart Plug,,,,217.82,0.218
3/3/2020 2:00,mains,Total Usage,,,,,1192.11,1.192
3/3/2020 2:00,always_on,Always On,AlwaysOn,,,,404,0.404
3/3/2020 2:00,c4efa971,Fridge,Fridge,,,,104.792,0.105
3/3/2020 2:00,cfd74978,Furnace,Furnace,,,,134.209,0.134
3/3/2020 2:00,solar,Solar Production,Solar,,,,3.941,0.004
3/3/2020 2:00,63b2178f,Furnace1,Mystery Heat,,,,24.116,0.024
3/3/2020 2:00,77639ae9,Portable Heater,Space Heater,,,,31.63,0.032
3/3/2020 2:00,hgLq1FnZ,kasa plug,Smart Plug,,,,250.843,0.251
3/3/2020 3:00,mains,Total Usage,,,,,1492.256,1.492
